feature,importance
D_127_latest,0.00086467934
B_38_5.0_RespRate_6,0.00086443534
S_7_min_6,0.0008642474
D_128_min_6,0.00085886475
R_9_min_6,0.00085882144
B_38_6.0_RespRate_6,0.00085445784
S_16_mean_12,0.0008499769
B_18_mean_12,0.0008499649
B_6_latest,0.00084995653
S_11_mean_6,0.0008487865
R_7_latest,0.00084602105
D_53_max_12,0.00084413576
B_3_min_6,0.0008388276
B_23_max_6,0.0008366276
D_129_min_6,0.00083525246
B_27_min_12,0.0008337021
B_37_min_12,0.00083355576
B_22_latest,0.00083328533
D_119_min_12,0.0008315266
D_123_mean_12,0.00082948804
R_25_min_12,0.00082399097
B_38_3.0_RespRate_12,0.0008239718
B_29_latest,0.0008205079
R_1_max_6,0.0008144506
R_9_min_12,0.000813985
D_121_min_12,0.00081286026
D_131_max_12,0.0008127902
B_37_latest,0.00081231626
D_129_mean_6,0.0008101833
D_121_latest,0.00081003405
D_124_latest,0.0008097297
S_22_mean_12,0.0008092107
B_5_max_12,0.0008084117
B_22_min_12,0.0008081472
S_5_latest,0.0008030515
S_7_max_6,0.0008005435
D_144_min_6,0.000799958
B_26_min_6,0.00079949043
B_37_mean_12,0.00079938973
D_122_max_6,0.0007991406
D_135_max_12,0.0007987592
B_15_mean_6,0.00079732144
D_115_mean_6,0.0007963199
D_65_mean_6,0.00079577364
D_77_latest,0.0007955745
B_37_min_6,0.0007921187
R_21_min_12,0.00079194526
D_132_mean_6,0.00079179043
D_53_min_12,0.0007904748
R_20_max_12,0.00078911625
D_122_min_6,0.00078784674
D_143_max_6,0.0007864922
D_112_mean_12,0.0007829407
S_7_min_12,0.0007820798
D_110_mean_12,0.00078194105
S_6_max_6,0.00078058965
D_43_max_12,0.0007778409
D_64_U_latest,0.00077712367
S_9_min_6,0.0007728601
B_23_mean_12,0.0007712895
D_134_latest,0.00077020476
S_22_max_12,0.00076982664
D_141_latest,0.00076956354
D_71_min_12,0.0007669743
R_16_mean_6,0.0007659819
D_145_max_12,0.00076561264
S_19_min_12,0.0007615871
B_38_3.0_RespRate_6,0.0007595828
R_22_max_12,0.00075843034
B_24_max_6,0.00075363973
D_47_max_12,0.00075352174
D_119_max_6,0.00075348484
R_8_min_12,0.0007526251
B_18_max_12,0.0007504995
B_6_min_6,0.0007493544
R_18_latest,0.000748897
D_117_3.0_RespRate_12,0.00074863184
R_12_min_12,0.0007484337
D_122_max_12,0.00074757315
B_14_min_12,0.00074715895
D_107_min_12,0.00074506114
B_40_max_12,0.00074356433
D_46_min_12,0.0007429
D_136_latest,0.0007421634
D_82_mean_6,0.00074053905
R_13_latest,0.00073968875
S_3_min_6,0.0007393863
D_91_latest,0.00073931395
R_5_latest,0.0007388733
D_104_mean_6,0.0007373949
R_20_mean_12,0.00073707354
D_79_max_6,0.0007341438
R_5_max_12,0.0007320836
D_52_min_6,0.0007312644
D_44_min_6,0.00073113857
P_3_mean_6,0.0007304328
B_41_max_6,0.00072784274
D_78_latest,0.00072712265
D_64_U_RespRate_12,0.00072678085
S_13_mean_12,0.00072641583
D_144_mean_6,0.00072640367
D_70_mean_12,0.0007262762
S_5_max_6,0.0007256422
D_41_max_6,0.0007243632
D_39_min_6,0.00072430994
D_127_max_12,0.0007241552
D_51_min_6,0.00072348904
D_59_mean_12,0.0007232165
D_140_mean_12,0.0007231198
D_65_mean_12,0.0007228968
D_81_mean_6,0.00072235096
D_76_min_12,0.00072204054
D_102_mean_6,0.0007199733
D_133_max_12,0.00071713125
D_125_latest,0.0007169638
D_122_latest,0.0007153621
B_17_max_6,0.00071496493
B_24_max_12,0.00071355904
B_32_max_6,0.0007133628
B_25_min_6,0.00071306527
D_82_max_6,0.00071212655
R_23_min_12,0.0007120014
D_125_min_12,0.00071168685
R_8_min_6,0.00071116915
R_26_mean_12,0.00071086537
D_113_latest,0.00071072095
D_83_max_6,0.0007104574
D_43_min_6,0.000710382
D_74_latest,0.00071014866
D_58_min_6,0.00071000983
