Trees,LR,Subsample,% Features,Weight of Default,AUC Train,AUC Test 1,AUC Test 2
100.0,0.01,0.8,0.5,10.0,0.9425956227246416,0.9407987219545655,0.9395167589618857
100.0,0.01,0.8,1.0,1.0,0.9438029809684917,0.9415499673577268,0.9400016905669462
100.0,0.01,0.8,1.0,5.0,0.9419209120122256,0.9399842421763405,0.9378599231411617
100.0,0.01,0.8,1.0,10.0,0.9409951954267635,0.9391163500327419,0.9371651642969963
100.0,0.1,0.5,0.5,1.0,0.952960479849613,0.947013826844222,0.946144323523177
100.0,0.1,0.5,0.5,5.0,0.9527715471055083,0.9467830511179438,0.945660595119395
100.0,0.1,0.5,0.5,10.0,0.952526271548325,0.9460982772028996,0.9453440287139698
100.0,0.1,0.5,1.0,1.0,0.9537630734025134,0.9469344760729758,0.9459701497656441
100.0,0.1,0.5,1.0,5.0,0.9536893440158989,0.9466638727890933,0.9457949387656295
100.0,0.1,0.5,1.0,10.0,0.9530061477104955,0.9466499421359124,0.9454048526130986
100.0,0.1,0.8,0.5,1.0,0.9533127659750688,0.9472740685995716,0.9461732695033672
100.0,0.1,0.8,0.5,5.0,0.9528250184091638,0.9469988863224393,0.9458641020943116
100.0,0.1,0.8,0.5,10.0,0.9526216353861625,0.9469468573387124,0.9459799966542708
100.0,0.1,0.8,1.0,1.0,0.9538057630489112,0.9473600319350886,0.9464070916185496
100.0,0.1,0.8,1.0,5.0,0.9536650762361933,0.9468590402717891,0.9460121235114051
100.0,0.1,0.8,1.0,10.0,0.9533934013386709,0.9467826776048993,0.9458531764735039
300.0,0.01,0.5,0.5,1.0,0.9484324175362959,0.9455278259471266,0.9444261797568327
300.0,0.01,0.5,0.5,5.0,0.9476147506231576,0.9448711485133241,0.9439243618441696
300.0,0.01,0.5,0.5,10.0,0.947268238638858,0.9446252385918325,0.943512797857317
300.0,0.01,0.5,1.0,1.0,0.9487565576611795,0.9456236112923342,0.944396749730151
300.0,0.01,0.5,1.0,5.0,0.9479195930106356,0.945134101696701,0.9437353762639975
300.0,0.01,0.5,1.0,10.0,0.9475524532865565,0.9448026987894526,0.9433821882840171
300.0,0.01,0.8,0.5,1.0,0.9485388424970286,0.9453385378364287,0.9444118934703843
300.0,0.01,0.8,0.5,5.0,0.9476930073530966,0.9448672612108971,0.9437680839769216
300.0,0.01,0.8,0.5,10.0,0.9473846475094836,0.9446180450072706,0.9434855529547967
300.0,0.01,0.8,1.0,1.0,0.9488094903583338,0.9452517998071897,0.9442151354865491
300.0,0.01,0.8,1.0,5.0,0.9479264761222526,0.9448902253462299,0.9434088799905469
300.0,0.01,0.8,1.0,10.0,0.9476167526133595,0.9446427937049273,0.9431955261270041
300.0,0.1,0.5,0.5,1.0,0.9604154531083082,0.9470940629797221,0.9458457774771343
300.0,0.1,0.5,0.5,5.0,0.9602049519684949,0.9466363296605104,0.9454168569660872
300.0,0.1,0.5,0.5,10.0,0.959257595215467,0.9457015095128517,0.9449254806277402
300.0,0.1,0.5,1.0,1.0,0.9622470759764428,0.9465954645666711,0.9458932140332988
300.0,0.1,0.5,1.0,5.0,0.961878455084486,0.9460770284608087,0.9455684464973179
300.0,0.1,0.5,1.0,10.0,0.9602804051499724,0.9460854947564856,0.9452954166163259
300.0,0.1,0.8,0.5,1.0,0.9612049498852058,0.9475787445734087,0.94645307603524
300.0,0.1,0.8,0.5,5.0,0.9607811103942111,0.9471032901353046,0.9457843035727167
300.0,0.1,0.8,0.5,10.0,0.9602445878176559,0.9468506708128275,0.9458304954379034
300.0,0.1,0.8,1.0,1.0,0.9626816151904514,0.9470852231710006,0.9463596827221844
300.0,0.1,0.8,1.0,5.0,0.9623246435695262,0.9469124388033462,0.9456941464562043
300.0,0.1,0.8,1.0,10.0,0.9612928488147809,0.9467186685361133,0.9453066326650282
