feature,importance
P_2_latest,0.052149884
B_11_latest,0.034928538
P_2_min_6,0.020198392
R_1_max_12,0.014097465
B_23_latest,0.008267712
B_9_latest,0.0060267383
B_2_latest,0.0059336843
D_65_mean_6,0.005842123
D_39_max_6,0.005816853
D_42_mean_12,0.00546297
B_4_max_12,0.0053306413
D_44_latest,0.005262856
D_112_latest,0.005225035
D_42_min_6,0.003860917
R_3_latest,0.0038277195
D_42_min_12,0.0036093025
D_49_mean_6,0.0034896892
B_8_mean_12,0.0032057532
D_50_mean_12,0.0032001496
B_1_latest,0.0031450442
D_62_mean_12,0.0030298545
B_7_max_6,0.0030220295
D_44_max_6,0.0026951556
D_49_max_6,0.0025086864
S_26_max_12,0.0024276406
R_1_latest,0.0023554005
B_22_latest,0.0021648824
S_3_mean_12,0.0019848023
D_75_min_12,0.00196358
S_3_max_12,0.001963465
D_63_CL_RespRate_12,0.001953668
B_38_5.0_Ever_12,0.0018775173
D_48_mean_12,0.0018516206
R_27_min_6,0.0018497932
D_50_mean_6,0.0017923167
B_7_min_6,0.0017752482
D_64_O_RespRate_6,0.0017551279
S_5_max_12,0.0017510541
D_122_max_12,0.0017310508
R_2_latest,0.0017176234
D_42_latest,0.0015867274
D_45_min_6,0.0015522508
D_45_max_6,0.0015479829
S_3_latest,0.0015388454
D_45_max_12,0.0015259036
B_4_latest,0.0015246033
R_1_mean_12,0.0015203509
D_121_mean_6,0.0015188868
D_132_max_6,0.0014996615
S_3_min_6,0.0014910421
D_43_mean_12,0.0014608908
S_3_mean_6,0.0014531484
D_48_max_6,0.0014397496
D_52_latest,0.0014390642
S_9_mean_6,0.001423268
B_14_max_12,0.0014202668
D_49_min_6,0.0014098831
B_5_min_12,0.0014052434
D_136_min_12,0.001394578
D_56_max_6,0.0013782233
D_142_max_6,0.0013749761
D_43_mean_6,0.001357799
D_74_min_6,0.0013542011
D_66_nan_RespRate_12,0.001352705
P_4_min_12,0.0013498206
D_52_min_12,0.0013453331
S_24_mean_6,0.00133638
D_120_1.0_Ever_12,0.0013342216
D_48_min_12,0.0013135826
B_18_mean_6,0.0013109243
S_13_mean_12,0.0012757897
D_51_max_12,0.00126378
B_23_max_12,0.0012238789
D_63_XM_RespRate_12,0.0012222491
D_39_latest,0.0012100894
B_7_max_12,0.0011927106
B_17_min_6,0.0011715635
S_23_mean_6,0.0011640535
S_5_max_6,0.0011600697
D_46_min_6,0.0011595167
B_28_min_12,0.0011559094
D_46_mean_6,0.0011529808
B_10_max_6,0.0011518562
S_7_latest,0.0011481508
D_62_min_6,0.0011448594
D_71_mean_6,0.0011427874
D_73_mean_12,0.001142342
D_66_nan_Ever_12,0.0011376205
D_110_min_12,0.001136821
D_107_max_12,0.0011367761
B_4_max_6,0.0011341604
B_14_max_6,0.0011331835
B_24_max_12,0.0011303608
D_47_max_12,0.001128614
D_145_min_12,0.0011226203
S_9_min_12,0.0011201327
R_28_min_12,0.0011140493
D_65_latest,0.0011138197
B_7_latest,0.001112962
B_15_mean_12,0.0011120326
D_70_mean_6,0.0011089379
S_15_max_12,0.0011081662
B_39_min_12,0.0011062102
D_104_mean_6,0.0010970305
B_3_latest,0.0010962633
B_14_latest,0.0010956354
D_96_max_12,0.0010921252
B_14_mean_6,0.0010844765
D_114_1.0_Ever_6,0.0010794925
S_27_max_6,0.0010781924
B_29_max_12,0.0010755719
B_38_2.0_RespRate_12,0.001072851
D_45_latest,0.0010703148
R_12_max_6,0.001067881
P_2_min_12,0.0010644142
D_46_max_12,0.0010639542
S_7_mean_12,0.0010623464
D_92_max_6,0.0010581298
D_53_max_12,0.001055073
S_25_mean_6,0.0010519857
B_25_max_6,0.001051063
B_17_mean_12,0.0010488858
D_112_mean_6,0.0010444889
D_68_0.0_Ever_12,0.0010431925
R_22_mean_6,0.001039982
S_16_max_12,0.0010385877
D_43_max_6,0.0010372883
B_1_max_6,0.0010368024
D_49_min_12,0.0010341927
D_71_mean_12,0.0010339125
B_4_min_12,0.0010336643
D_74_min_12,0.0010325459
B_26_min_12,0.0010314694
R_9_min_12,0.0010312437
D_104_min_12,0.0010291905
D_76_max_12,0.0010219716
B_11_min_12,0.0010209432
R_14_min_12,0.0010132781
B_18_max_6,0.0010048767
D_132_latest,0.001004541
D_54_latest,0.0009989982
B_10_max_12,0.0009942752
D_139_latest,0.0009903045
B_14_min_6,0.0009843558
B_24_min_6,0.0009821882
D_55_mean_6,0.000981446
D_56_max_12,0.0009806658
B_21_mean_12,0.0009802501
B_17_latest,0.00097653636
S_8_mean_6,0.00097548123
S_11_mean_6,0.00097477477
S_5_min_6,0.00097220665
D_92_min_12,0.0009701287
D_125_mean_6,0.0009701086
D_141_max_6,0.00096981693
R_9_min_6,0.00096663646
B_8_max_6,0.0009641568
B_41_mean_12,0.0009633121
P_2_mean_12,0.0009629213
D_75_min_6,0.0009598294
B_10_latest,0.0009541677
R_24_max_12,0.0009535492
S_11_max_12,0.00095208816
B_7_min_12,0.00095003395
D_134_min_6,0.0009480495
S_9_max_12,0.0009476631
S_7_max_6,0.00094700215
D_112_mean_12,0.0009463797
D_132_mean_12,0.000944772
D_108_mean_6,0.0009440997
S_12_min_6,0.00094135694
