# HL,# Nodes,Activation,Dropout,Batch Size,AUC Train,AUC Test 1,AUC Test 2
2,4,relu,0.5,100,0.9426340797369324,0.9421114681342463,0.9415648564766195
2,4,relu,0.5,10000,0.9000160927746649,0.8984045625476091,0.8954988295479238
2,4,relu,0.0,100,0.9443636233349946,0.9432579180061951,0.9420011344943369
2,4,relu,0.0,10000,0.843073792876126,0.8482555253092993,0.844551041623794
2,4,tanh,0.5,100,0.9414038777178286,0.9409671901714829,0.9395942755500205
2,4,tanh,0.5,10000,0.9036783489485183,0.8978590813305565,0.8999416571848874
2,4,tanh,0.0,100,0.9441919729999609,0.9437563642472652,0.9422362981097957
2,4,tanh,0.0,10000,0.910871136438376,0.9083031700799118,0.9111164927861031
2,6,relu,0.5,100,0.9434041428545006,0.942844812578901,0.9416526901699728
2,6,relu,0.5,10000,0.8981478135421528,0.8974816118144777,0.897903821455773
2,6,relu,0.0,100,0.9453173328500779,0.9442107082814427,0.9429623263573107
2,6,relu,0.0,10000,0.9045757467728326,0.9028127496658026,0.9038917946430272
2,6,tanh,0.5,100,0.9420122229631731,0.9416012631491808,0.9405212660708968
2,6,tanh,0.5,10000,0.8997923735453559,0.8997340476452133,0.9002045359194583
2,6,tanh,0.0,100,0.945211087001413,0.9441511122001093,0.9429525209583832
2,6,tanh,0.0,10000,0.9042791079721079,0.9029475325396265,0.9027391278179251
4,4,relu,0.5,100,0.9323741568775781,0.9310975091494094,0.9302387770916674
4,4,relu,0.5,10000,0.7662905785375675,0.760687176572288,0.765900194260304
4,4,relu,0.0,100,0.9440547185333887,0.9431413819362895,0.9416274920926165
4,4,relu,0.0,10000,0.8949961271143863,0.8929679141781014,0.8971157107882513
4,4,tanh,0.5,100,0.9417129521042644,0.9410687165505236,0.9400838263415998
4,4,tanh,0.5,10000,0.8995509190456137,0.8978621109363624,0.9011600160338327
4,4,tanh,0.0,100,0.9443017750488609,0.9437394731573604,0.9421081502586524
4,4,tanh,0.0,10000,0.923405913396343,0.9226700864967676,0.9213675602330857
4,6,relu,0.5,100,0.942385218127503,0.9419507745221829,0.9414727493442415
4,6,relu,0.5,10000,0.8847855597920289,0.8829769244194418,0.887185856593012
4,6,relu,0.0,100,0.9443741147290791,0.9435240114659098,0.9422773452522728
4,6,relu,0.0,10000,0.9214708037675626,0.9220162864967897,0.919551210348571
4,6,tanh,0.5,100,0.9422750191103685,0.9418308076657937,0.940582352738121
4,6,tanh,0.5,10000,0.9181627728295987,0.9169507164201536,0.916771469647021
4,6,tanh,0.0,100,0.9451335378276555,0.9441623175914462,0.9427309659642849
4,6,tanh,0.0,10000,0.9351572764010679,0.9350466902372766,0.9349699996282522
